Date,Value
1994-01-01,95.92
1994-02-01,96.21
1994-03-01,96.14
1994-04-01,96.29
1994-05-01,96.58
1994-06-01,96.75
1994-07-01,97.41
1994-08-01,97.52
1994-09-01,97.4
1994-10-01,97.24
1994-11-01,97.25
1994-12-01,97.28
1995-01-01,97.73
1995-02-01,98.05
1995-03-01,97.96
1995-04-01,98.06
1995-05-01,97.99
1995-06-01,98.06
1995-07-01,98.72
1995-08-01,99.01
1995-09-01,98.67
1995-10-01,98.52
1995-11-01,98.67
1995-12-01,98.65
1996-01-01,99.41
1996-02-01,99.6
1996-03-01,99.64
1996-04-01,99.65
1996-05-01,99.45
1996-06-01,99.53
1996-07-01,100.22
1996-08-01,100.5
1996-09-01,100.2
1996-10-01,100.36
1996-11-01,100.46
1996-12-01,100.6
1997-01-01,101.26
1997-02-01,101.09
1997-03-01,100.61
1997-04-01,100.63
1997-05-01,100.73
1997-06-01,100.91
1997-07-01,101.83
1997-08-01,101.88
1997-09-01,101.47
1997-10-01,101.49
1997-11-01,101.78
1997-12-01,101.75
1998-01-01,101.83
1998-02-01,102.08
1998-03-01,101.95
1998-04-01,102.44
1998-05-01,102.99
1998-06-01,102.89
1998-07-01,103.14
1998-08-01,102.74
1998-09-01,102.71
1998-10-01,102.72
1998-11-01,102.7
1998-12-01,102.71
1999-01-01,103.07
1999-02-01,103.31
1999-03-01,103.32
1999-04-01,103.57
1999-05-01,103.74
1999-06-01,103.56
1999-07-01,103.58
1999-08-01,103.33
1999-09-01,103.53
1999-10-01,103.65
1999-11-01,103.83
1999-12-01,104.02
2000-01-01,104.29
2000-02-01,104.56
2000-03-01,104.79
2000-04-01,105.08
2000-05-01,105.21
2000-06-01,105.43
2000-07-01,105.69
2000-08-01,105.74
2000-09-01,106.2
2000-10-01,106.04
2000-11-01,106.45
2000-12-01,106.4
2001-01-01,106.48
2001-02-01,106.83
2001-03-01,107.14
2001-04-01,107.94
2001-05-01,108.46
2001-06-01,108.81
2001-07-01,108.92
2001-08-01,108.99
2001-09-01,109.16
2001-10-01,109.22
2001-11-01,109.43
2001-12-01,109.23
2002-01-01,109.93
2002-02-01,110.09
2002-03-01,110.33
2002-04-01,110.11
2002-05-01,110.35
2002-06-01,110.09
2002-07-01,110.44
2002-08-01,110.39
2002-09-01,110.62
2002-10-01,110.43
2002-11-01,110.46
2002-12-01,110.55
2003-01-01,110.94
2003-02-01,111.56
2003-03-01,111.82
2003-04-01,111.73
2003-05-01,111.57
2003-06-01,111.85
2003-07-01,112.06
2003-08-01,112.2
2003-09-01,112.47
2003-10-01,112.15
2003-11-01,112.36
2003-12-01,112.32
2004-01-01,112.67
2004-02-01,113.02
2004-03-01,113.05
2004-04-01,113.5
2004-05-01,113.67
2004-06-01,113.65
2004-07-01,114.0
2004-08-01,114.03
2004-09-01,114.08
2004-10-01,114.49
2004-11-01,114.48
2004-12-01,114.25
2005-01-01,114.68
2005-02-01,115.28
2005-03-01,115.9
2005-04-01,115.87
2005-05-01,116.09
2005-06-01,116.29
2005-07-01,116.76
2005-08-01,116.78
2005-09-01,116.65
2005-10-01,116.46
2005-11-01,116.82
2005-12-01,116.91
2006-01-01,116.98
2006-02-01,117.54
2006-03-01,117.44
2006-04-01,117.87
2006-05-01,118.26
2006-06-01,118.24
2006-07-01,118.61
2006-08-01,118.75
2006-09-01,118.73
2006-10-01,118.68
2006-11-01,118.98
2006-12-01,119.09
2007-01-01,119.37
2007-02-01,119.98
2007-03-01,119.72
2007-04-01,120.12
2007-05-01,119.85
2007-06-01,119.78
2007-07-01,120.25
2007-08-01,120.22
2007-09-01,120.27
2007-10-01,120.81
2007-11-01,121.65
2007-12-01,122.23
2008-01-01,122.7
2008-02-01,123.68
2008-03-01,124.37
2008-04-01,124.57
2008-05-01,125.37
2008-06-01,125.85
2008-07-01,126.53
2008-08-01,126.15
2008-09-01,126.46
2008-10-01,126.61
2008-11-01,126.39
2008-12-01,126.56
2009-01-01,126.8
2009-02-01,127.14
2009-03-01,126.36
2009-04-01,126.48
2009-05-01,126.24
2009-06-01,125.72
2009-07-01,125.69
2009-08-01,125.9
2009-09-01,125.67
2009-10-01,125.88
2009-11-01,126.0
2009-12-01,126.24
2010-01-01,126.69
2010-02-01,127.31
2010-03-01,127.55
2010-04-01,127.81
2010-05-01,128.24
2010-06-01,128.26
2010-07-01,128.4
2010-08-01,128.49
2010-09-01,128.89
2010-10-01,129.08
2010-11-01,129.19
2010-12-01,129.52
2011-01-01,130.13
2011-02-01,130.89
2011-03-01,131.28
2011-04-01,131.48
2011-05-01,131.95
2011-06-01,132.46
2011-07-01,132.67
2011-08-01,132.53
2011-09-01,132.8
2011-10-01,133.07
2011-11-01,133.57
2011-12-01,133.7
2012-01-01,134.53
2012-02-01,135.35
2012-03-01,135.4
2012-04-01,135.37
2012-05-01,135.56
2012-06-01,135.39
2012-07-01,135.63
2012-08-01,135.92
2012-09-01,135.98
2012-10-01,136.38
2012-11-01,136.47
2012-12-01,136.59
2013-01-01,136.52
2013-02-01,136.83
2013-03-01,137.09
2013-04-01,137.08
2013-05-01,137.45
2013-06-01,137.67
2013-07-01,137.73
2013-08-01,137.54
2013-09-01,137.45
2013-10-01,137.65
2013-11-01,137.8
2013-12-01,137.97
2014-01-01,138.22
2014-02-01,138.43
2014-03-01,138.49
2014-04-01,138.0
2014-05-01,137.8
2014-06-01,137.87
2014-07-01,138.03
2014-08-01,137.56
2014-09-01,137.48
2014-10-01,137.78
2014-11-01,137.78
2014-12-01,137.95
2015-01-01,138.24
2015-02-01,138.62
2015-03-01,138.4
2015-04-01,138.94
2015-05-01,138.99
2015-06-01,139.23
2015-07-01,139.28
2015-08-01,139.61
2015-09-01,139.94
2015-10-01,140.52
2015-11-01,140.53
2015-12-01,140.46
2016-01-01,140.73
2016-02-01,140.88
2016-03-01,142.17
2016-04-01,142.25
2016-05-01,142.58
2016-06-01,142.54
2016-07-01,142.8
2016-08-01,142.85
2016-09-01,142.46
2016-10-01,142.7
2016-11-01,142.85
2016-12-01,142.96
2017-01-01,143.79
2017-02-01,144.35
2017-03-01,144.71
2017-04-01,144.9
2017-05-01,144.85
2017-06-01,144.67
2017-07-01,145.14
2017-08-01,145.2
2017-09-01,144.97
2017-10-01,145.42
2017-11-01,145.44
2017-12-01,145.85
2018-01-01,146.15
2018-02-01,146.39
2018-03-01,146.62
2018-04-01,146.87
2018-05-01,147.0
2018-06-01,147.03
2018-07-01,147.62
2018-08-01,147.77
2018-09-01,147.73
2018-10-01,148.75
2018-11-01,149.05
2018-12-01,149.01
2019-01-01,149.08
2019-02-01,149.46
2019-03-01,149.82
2019-04-01,149.74
2019-05-01,149.61
2019-06-01,149.79
2019-07-01,149.86
2019-08-01,149.86
2019-09-01,149.19
2019-10-01,149.74
2019-11-01,149.77
2019-12-01,150.01
2020-01-01,150.76
2020-02-01,150.96
2020-03-01,151.09
2020-04-01,151.44
2020-05-01,151.28
2020-06-01,151.21
2020-07-01,151.36
2020-08-01,151.41
2020-09-01,150.84
2020-10-01,151.29
2020-11-01,151.02
2020-12-01,150.98
2021-01-01,151.62
2021-02-01,151.68
2021-03-01,151.91
2021-04-01,152.42
2021-05-01,152.5
2021-06-01,152.94
2021-07-01,154.14
2021-08-01,154.9
2021-09-01,154.29
2021-10-01,156.55
2021-11-01,158.28
2021-12-01,158.83
2022-01-01,162.42
2022-02-01,163.15
2022-03-01,163.57
2022-04-01,164.32
2022-05-01,165.22
2022-06-01,166.28
2022-07-01,168.11
2022-08-01,169.94
2022-09-01,171.64
2022-10-01,175.76
2022-11-01,175.1
2022-12-01,175.72
2023-01-01,175.87
2023-02-01,174.31
2023-03-01,175.6
2023-04-01,174.09
2023-05-01,174.98
2023-06-01,174.62
2023-07-01,176.17
2023-08-01,177.0
2023-09-01,175.21
2023-10-01,176.28
2023-11-01,176.63
2023-12-01,177.97
2024-01-01,178.88
2024-02-01,179.93
2024-03-01,181.02
2024-04-01,179.79
2024-05-01,180.57
2024-06-01,181.26
2024-07-01,182.52
